"OTU","Abundance","index","id","sampleloc","date","kingdom","phylum","class","order","family","genus","rel_ab","mean_cn"
"37f9d95d321438477967281dcfa4efc1",11465,"GESCF34_sinus_1_26_21","GESCF34_2021-01-26","sinus",2021-01-26,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",99.8258598171528,6059721.20280838
"37f9d95d321438477967281dcfa4efc1",11460,"GESCF01_sinus_5_2_18","GESCF01_2018-05-02","sinus",2018-05-02,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",99.9041060064511,2272577.57288202
"37f9d95d321438477967281dcfa4efc1",11438,"GESCF03_sinus_8_14_19","GESCF03_2019-08-14","sinus",2019-08-14,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",99.9039217398899,1579160.90017207
"0fa481957525a80964121165c280f20f",11437,"GESCF02_sinus_10_2_19","GESCF02_2019-10-02","sinus",2019-10-02,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",99.8777399353768,148412.577510145
"37f9d95d321438477967281dcfa4efc1",11431,"GESCF11_sinus_6_26_19","GESCF11_2019-06-26","sinus",2019-06-26,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",99.7469458987784,8397519.36358273
"37f9d95d321438477967281dcfa4efc1",11396,"GESCF13_sinus_10_23_19","GESCF13_2019-10-23","sinus",2019-10-23,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",99.2769405000436,875847.610804874
"0fa481957525a80964121165c280f20f",11349,"GESCF06_sinus_10_10_18","GESCF06_2018-10-10","sinus",2018-10-10,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",99.5526315789474,21079855.5730088
"0fa481957525a80964121165c280f20f",11324,"GESCF02_sinus_5_2_18","GESCF02_2018-05-02","sinus",2018-05-02,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",99.3420475480305,90044.0902643401
"37f9d95d321438477967281dcfa4efc1",11309,"GESCF05_sinus_11_29_17","GESCF05_2017-11-29","sinus",2017-11-29,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",98.7082133193681,26016.2746602944
"37f9d95d321438477967281dcfa4efc1",11304,"GESCF03_sinus_5_30_18","GESCF03_2018-05-30","sinus",2018-05-30,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",99.9116139296447,71924.095811344
"37f9d95d321438477967281dcfa4efc1",11304,"GESCF06_sputum_5_9_18","GESCF06_2018-05-09","sputum",2018-05-09,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",98.3469636331999,852873.846255927
"37f9d95d321438477967281dcfa4efc1",11254,"GESCF06_sputum_10_10_18","GESCF06_2018-10-10","sputum",2018-10-10,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",98.2796262335167,908722.778461568
"37f9d95d321438477967281dcfa4efc1",11247,"GESCF20_sinus_10_31_18","GESCF20_2018-10-31","sinus",2018-10-31,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",98.1499258224976,53110.0300413072
"37f9d95d321438477967281dcfa4efc1",11202,"GESCF06_sinus_3_8_18","GESCF06_2018-03-08","sinus",2018-03-08,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",97.6634699215344,3.81558491068775
"37f9d95d321438477967281dcfa4efc1",11196,"GESCF25_sputum_10_3_18","GESCF25_2018-10-03","sputum",2018-10-03,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",97.9013641133263,83820.3264916732
"71c37f850d124fe3370ecbaf325e52d1",11109,"GESCF11_sinus_8_14_19","GESCF11_2019-08-14","sinus",2019-08-14,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia",99.5430107526882,6416.10128724993
"37f9d95d321438477967281dcfa4efc1",11063,"GESCF12_sinus_5_23_18","GESCF12_2018-05-23","sinus",2018-05-23,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",96.7299116901285,67431.9561437336
"37f9d95d321438477967281dcfa4efc1",11051,"GESCF03_sinus_12_12_18","GESCF03_2018-12-12","sinus",2018-12-12,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",99.6483318304779,9796.06377466179
"37f9d95d321438477967281dcfa4efc1",10831,"GESCF20_sputum_10_31_18","GESCF20_2018-10-31","sputum",2018-10-31,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",94.9005520021029,296325.736999027
"37f9d95d321438477967281dcfa4efc1",10828,"GESCF05_sputum_6_12_19","GESCF05_2019-06-12","sputum",2019-06-12,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",96.9729536091707,7823.1661418209
"37f9d95d321438477967281dcfa4efc1",10705,"GESCF20_sinus_7_18_18","GESCF20_2018-07-18","sinus",2018-07-18,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",93.6160909488413,123234.701839759
"37f9d95d321438477967281dcfa4efc1",10639,"GESCF01_sinus_8_28_19","GESCF01_2019-08-28","sinus",2019-08-28,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",99.9624166118576,3530.76390795196
"37f9d95d321438477967281dcfa4efc1",10584,"GESCF12_sinus_2_28_18","GESCF12_2018-02-28","sinus",2018-02-28,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",92.4689847981828,274011.924294298
"37f9d95d321438477967281dcfa4efc1",10445,"GESCF01_sputum_8_28_19","GESCF01_2019-08-28","sputum",2019-08-28,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",92.4991144172866,87188.9518255923
"37f9d95d321438477967281dcfa4efc1",10323,"GESCF31_sinus_3_6_19","GESCF31_2019-03-06","sinus",2019-03-06,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",99.6236247828605,1705.44453617949
"0fa481957525a80964121165c280f20f",10140,"GESCF09_sinus_9_11_19","GESCF09_2019-09-11","sinus",2019-09-11,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",93.6115214180207,2619.35130652189
"37f9d95d321438477967281dcfa4efc1",10075,"GESCF34_sputum_1_26_21","GESCF34_2021-01-26","sputum",2021-01-26,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",87.9605378033875,102406.399674669
"37f9d95d321438477967281dcfa4efc1",10016,"GESCF01_sputum_5_2_18","GESCF01_2018-05-02","sputum",2018-05-02,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",87.8134315272663,92534.8229009483
"37f9d95d321438477967281dcfa4efc1",10000,"GESCF24_sinus_3_13_19","GESCF24_2019-03-13","sinus",2019-03-13,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",87.6654685719295,231873.341160766
"37f9d95d321438477967281dcfa4efc1",9875,"GESCF24_sinus_9_9_19","GESCF24_2019-09-09","sinus",2019-09-09,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",87.19646799117,39844601.3447284
"0fa481957525a80964121165c280f20f",9834,"GESCF13_sinus_7_17_19","GESCF13_2019-07-17","sinus",2019-07-17,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",87.2504657971786,3641.98244512008
"0fa481957525a80964121165c280f20f",9522,"GESCF05_sinus_3_28_18","GESCF05_2018-03-28","sinus",2018-03-28,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",86.6739486619334,3619.94264027476
"0fa481957525a80964121165c280f20f",9484,"GESCF05_sinus_6_12_19","GESCF05_2019-06-12","sinus",2019-06-12,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",93.6044216344256,297.858388983366
"37f9d95d321438477967281dcfa4efc1",9325,"GESCF19_sputum_7_18_18","GESCF19_2018-07-18","sputum",2018-07-18,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",81.5621446689408,1199700.20712279
"37f9d95d321438477967281dcfa4efc1",9319,"GESCF06_sinus_5_9_18","GESCF06_2018-05-09","sinus",2018-05-09,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",81.7814831066257,17651.2766447816
"37f9d95d321438477967281dcfa4efc1",9035,"GESCF05_sputum_11_29_17","GESCF05_2017-11-29","sputum",2017-11-29,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",82.5641962898657,3344.35912127229
"0fa481957525a80964121165c280f20f",8888,"GESCF02_sinus_4_10_19","GESCF02_2019-04-10","sinus",2019-04-10,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",89.8231430015159,456.316451776152
"37f9d95d321438477967281dcfa4efc1",8541,"GESCF20_sputum_7_18_18","GESCF20_2018-07-18","sputum",2018-07-18,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",75.5239190025643,887614.310274315
"37f9d95d321438477967281dcfa4efc1",8424,"GESCF19_sputum_6_12_19","GESCF19_2019-06-12","sputum",2019-06-12,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",73.7459511511862,281582.395912577
"5f29d043bc53ad90a02d787d8798a4d2",8306,"GESCF16_sputum_6_20_18","GESCF16_2018-06-20","sputum",2018-06-20,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter",77.9247584201145,48412.0803967256
"37f9d95d321438477967281dcfa4efc1",8293,"GESCF24_sputum_3_13_19","GESCF24_2019-03-13","sputum",2019-03-13,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",72.5483334791357,7291034.04019765
"0fa481957525a80964121165c280f20f",8252,"GESCF09_sputum_2_13_19","GESCF09_2019-02-13","sputum",2019-02-13,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",75.5816083531782,3520.3640096054
"b3bd495357d1eb8c6c8aa2953dcf0fb5",8251,"GESCF11_sputum_8_14_19","GESCF11_2019-08-14","sputum",2019-08-14,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Rothia",79.2298828500096,595.641004686215
"37f9d95d321438477967281dcfa4efc1",8136,"GESCF15_sinus_5_2_18","GESCF15_2018-05-02","sinus",2018-05-02,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",72.1404504344742,9339.9528595786
"37f9d95d321438477967281dcfa4efc1",7903,"GESCF27_sinus_7_17_19","GESCF27_2019-07-17","sinus",2019-07-17,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",69.2455971260843,34875.6799759124
"0fa481957525a80964121165c280f20f",7851,"GESCF05_sinus_9_4_19","GESCF05_2019-09-04","sinus",2019-09-04,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",81.6706543222719,246.972001938908
"37f9d95d321438477967281dcfa4efc1",7764,"GESCF09_sputum_1_24_18","GESCF09_2018-01-24","sputum",2018-01-24,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",68.6411457872867,60813.6242817504
"37f9d95d321438477967281dcfa4efc1",7504,"GESCF06_sinus_9_4_19","GESCF06_2019-09-04","sinus",2019-09-04,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",65.3317081664635,158621.688464455
"37f9d95d321438477967281dcfa4efc1",7356,"GESCF13_sinus_5_8_19","GESCF13_2019-05-08","sinus",2019-05-08,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",64.5886381596277,503550.838842194
"8df2d7f6e05469de9caac03355e839de",7327,"GESCF08_sinus_3_14_18","GESCF08_2018-03-14","sinus",2018-03-14,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Lawsonella",71.08761036189,494537.594754048
"37f9d95d321438477967281dcfa4efc1",7314,"GESCF06_sputum_9_4_19","GESCF06_2019-09-04","sputum",2019-09-04,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",91.1174785100286,6628.91349180818
